loan_id,user_id,loan_amount,interest_rate,loan_status
L186,U95,5197,0.12,paid
L187,U96,9782,0.12,paid
L188,U97,1309,0.15,paid
L189,U98,9072,0.1,paid
L190,U98,8272,0.1,paid
L191,U99,9347,0.15,paid
L192,U100,8441,0.12,paid
L193,U100,5699,0.12,paid
L194,U100,5151,0.15,paid
L195,U101,3326,0.15,paid
L196,U101,7336,0.12,paid
L197,U101,6356,0.12,paid
L198,U102,6794,0.15,paid
L199,U102,3513,0.12,default
L200,U102,8448,0.12,paid
L201,U103,1000,0.12,default
L202,U103,2538,0.15,default
L203,U103,1015,0.12,paid
L204,U104,6975,0.1,paid
L205,U105,5076,0.1,paid
L206,U105,3160,0.15,paid
L207,U106,9170,0.12,paid
L208,U106,8693,0.1,default
L209,U107,9205,0.15,paid
L210,U108,2249,0.1,paid
L211,U108,5246,0.1,paid
L212,U109,1933,0.1,paid
L213,U109,4852,0.1,paid
L214,U110,8008,0.15,paid
L215,U110,3875,0.1,paid
L216,U110,2005,0.1,paid
L217,U111,8612,0.1,paid
L218,U111,2521,0.12,paid
L219,U112,5934,0.1,paid
L220,U112,9047,0.1,default
L221,U112,2413,0.15,paid
L222,U113,9327,0.15,paid
L223,U113,3996,0.1,paid
L224,U113,2603,0.1,paid
L225,U114,5527,0.15,paid
L226,U114,1106,0.12,paid
L227,U114,2996,0.15,paid
L228,U115,9670,0.15,paid
L229,U115,7047,0.12,paid
L230,U116,6245,0.12,default
L231,U116,5019,0.12,paid
L232,U116,4507,0.1,paid
L233,U117,3102,0.12,paid
L234,U118,3320,0.15,paid
L235,U119,9316,0.12,paid
L236,U120,6628,0.15,paid
L237,U120,1545,0.15,default
L238,U121,4968,0.15,paid
L239,U121,4677,0.12,default
L240,U121,6636,0.15,paid
L241,U122,3512,0.12,paid
L242,U122,8076,0.15,paid
L243,U123,8585,0.15,paid
L244,U123,7583,0.15,paid
L245,U123,4837,0.15,paid
L246,U124,3346,0.15,paid
L247,U125,4615,0.15,paid
L248,U125,2054,0.1,default
L249,U125,3918,0.1,paid
L250,U126,2782,0.1,paid
L251,U126,5898,0.1,default
L252,U126,9899,0.12,paid
L253,U127,7789,0.1,default
L254,U127,6920,0.15,default
L255,U128,1631,0.15,paid
L256,U129,8793,0.15,paid
L257,U129,9389,0.15,paid
L258,U130,3377,0.15,default
L259,U131,3822,0.12,default
L260,U131,5682,0.15,paid
L261,U131,1271,0.1,paid
L262,U132,1383,0.1,paid
L263,U132,3299,0.1,paid
L264,U133,6967,0.15,paid
L265,U134,9981,0.12,default
L266,U134,7837,0.15,default
L267,U135,1136,0.1,paid
L268,U135,5227,0.1,default
L269,U136,1090,0.12,paid
L270,U136,6389,0.15,default
L271,U136,6658,0.12,paid
L272,U137,4451,0.1,paid
L273,U137,8441,0.1,paid
L274,U138,8896,0.1,paid
L275,U138,7900,0.1,paid
L276,U139,9389,0.1,paid
L277,U140,1459,0.12,paid
L278,U140,5129,0.1,paid
L279,U141,7621,0.1,paid
L280,U141,7401,0.12,paid
L281,U142,2109,0.15,paid
L282,U143,2616,0.1,paid
L283,U143,4391,0.1,paid
L284,U144,4368,0.1,default
L285,U145,1150,0.1,paid
L286,U145,5528,0.1,paid
L287,U145,6545,0.12,paid
L288,U146,3219,0.1,paid
L289,U146,2886,0.12,paid
L290,U147,5874,0.15,default
L291,U148,1288,0.15,paid
L292,U148,7408,0.15,paid
L293,U149,6321,0.12,default
L294,U149,2685,0.15,paid
L295,U150,2976,0.12,paid
L296,U150,1267,0.12,paid
L297,U151,1123,0.1,paid
L298,U151,7577,0.12,paid
L299,U151,4859,0.1,default
L300,U152,7952,0.15,paid
L301,U152,7096,0.15,paid
L302,U153,8158,0.15,paid
L303,U153,3177,0.15,paid
L304,U153,8360,0.1,paid
L305,U154,3501,0.15,paid
L306,U155,3258,0.15,paid
L307,U155,1833,0.12,default
L308,U155,9540,0.1,paid
L309,U156,5390,0.1,paid
L310,U156,3675,0.12,paid
L311,U157,7588,0.1,paid
L312,U157,7192,0.1,paid
L313,U158,6743,0.12,paid
L314,U159,6985,0.15,paid
L315,U159,4769,0.12,paid
L316,U160,9114,0.12,default
L317,U160,2502,0.12,default
L318,U160,9008,0.1,paid
L319,U161,8002,0.1,paid
L320,U161,3993,0.15,paid
L321,U162,6379,0.1,paid
L322,U162,3321,0.1,default
L323,U162,8054,0.15,paid
L324,U163,3422,0.12,default
L325,U164,8573,0.15,paid
L326,U164,1460,0.15,default
L327,U165,6267,0.1,paid
L328,U165,7732,0.15,paid
L329,U165,9910,0.1,paid
L330,U166,2129,0.15,default
L331,U166,3240,0.15,default
L332,U167,1854,0.15,default
L333,U168,2517,0.15,paid
L334,U168,1357,0.12,paid
L335,U169,9852,0.12,paid
L336,U169,7333,0.15,default
L337,U170,5557,0.15,paid
L338,U171,2702,0.15,paid
L339,U171,8500,0.1,paid
L340,U172,5497,0.12,paid
L341,U173,7947,0.15,paid
L342,U174,1730,0.15,paid
L343,U174,6069,0.15,paid
L344,U174,6134,0.1,paid
L345,U175,8814,0.12,paid
L346,U176,4861,0.12,paid
L347,U176,7735,0.12,paid
L348,U177,1058,0.1,paid
L349,U178,7712,0.1,paid
L350,U179,7952,0.12,paid
L351,U179,9423,0.15,paid
L352,U180,6055,0.15,default
L353,U180,4214,0.15,paid
L354,U181,3305,0.1,paid
L355,U181,2157,0.1,paid
L356,U182,5812,0.1,paid
L357,U182,4633,0.12,paid
L358,U182,8905,0.12,paid
L359,U183,8059,0.1,paid
L360,U183,2371,0.15,paid
L361,U183,7602,0.15,paid
L362,U184,6281,0.12,paid
L363,U184,2360,0.12,paid
L364,U185,6628,0.15,paid
L365,U185,1098,0.1,paid
L366,U186,6500,0.15,paid
L367,U186,5999,0.15,default
L368,U186,4787,0.1,paid
L369,U187,9108,0.15,default
L370,U187,3894,0.12,paid
L371,U187,2342,0.1,paid
L372,U188,9267,0.1,paid
L373,U188,5959,0.12,paid
L374,U189,2972,0.1,paid
L375,U189,4184,0.15,paid
L376,U190,1421,0.1,paid
L377,U191,5310,0.15,paid
L378,U192,8443,0.1,paid
L379,U192,3350,0.1,paid
L380,U193,2832,0.1,paid
L381,U193,4148,0.15,paid
L382,U193,3605,0.1,paid
L383,U194,9270,0.1,paid
L384,U194,7642,0.1,paid
L385,U194,6890,0.15,default
L386,U195,6689,0.15,paid
L387,U195,7764,0.1,default
L388,U196,7434,0.12,paid
L389,U197,9561,0.12,default
L390,U197,1280,0.1,paid
L391,U197,2874,0.12,default
L392,U198,8520,0.15,paid
L393,U198,5019,0.1,paid
L394,U198,4683,0.15,paid
L395,U199,1193,0.1,paid
L396,U199,9537,0.12,paid
L397,U199,6905,0.15,paid
L398,U200,3520,0.1,paid
L399,U201,2236,0.1,default
L400,U202,3264,0.1,paid
L401,U202,7109,0.12,paid
L402,U202,5547,0.12,default
L403,U203,1195,0.1,paid
L404,U203,5718,0.1,paid
L405,U203,3949,0.12,paid
L406,U204,5187,0.15,paid
L407,U205,8308,0.1,paid
L408,U206,8695,0.1,default
L409,U206,5073,0.15,default
L410,U207,6407,0.12,paid
L411,U207,1154,0.1,default
L412,U208,9313,0.1,paid
L413,U208,3898,0.1,paid
L414,U209,7584,0.15,default
L415,U209,3942,0.15,paid
L416,U210,5036,0.1,paid
L417,U211,6297,0.1,paid
L418,U212,2569,0.1,paid
L419,U213,2474,0.12,paid
L420,U213,6128,0.15,paid
L421,U214,7006,0.12,paid
L422,U214,6858,0.15,paid
L423,U215,4588,0.1,paid
L424,U215,1735,0.15,paid
L425,U215,1135,0.15,default
L426,U216,7797,0.12,paid
L427,U217,9186,0.1,default
L428,U218,9522,0.1,default
L429,U218,3115,0.15,paid
L430,U219,4498,0.1,paid
L431,U220,1812,0.12,paid
L432,U221,5639,0.1,paid
L433,U221,7843,0.15,paid
L434,U221,2681,0.1,paid
L435,U222,9408,0.15,paid
L436,U223,1758,0.1,paid
L437,U224,1469,0.12,paid
L438,U225,8324,0.12,paid
L439,U225,2249,0.12,paid
L440,U226,1929,0.15,paid
L441,U227,2947,0.1,default
L442,U228,2471,0.1,paid
L443,U229,5553,0.1,paid
L444,U229,1215,0.15,paid
L445,U230,2689,0.1,paid
L446,U230,5989,0.15,paid
L447,U231,7245,0.12,paid
L448,U232,1014,0.12,paid
L449,U233,8308,0.1,default
L450,U233,1614,0.12,paid
L451,U234,5478,0.15,paid
L452,U235,9884,0.12,paid
L453,U235,4141,0.15,default
L454,U235,8495,0.15,paid
L455,U236,5333,0.12,paid
L456,U236,2035,0.1,paid
L457,U237,5755,0.12,paid
L458,U237,9355,0.1,default
L459,U237,2500,0.15,paid
L460,U238,1787,0.15,paid
L461,U239,2332,0.15,paid
L462,U240,9054,0.12,paid
L463,U240,1260,0.15,paid
L464,U240,2542,0.1,paid
L465,U241,7904,0.1,paid
L466,U241,3481,0.1,paid
L467,U242,5548,0.15,paid
L468,U243,2892,0.12,default
L469,U244,5887,0.12,paid
L470,U245,1408,0.15,paid
L471,U245,1709,0.1,paid
L472,U245,3178,0.15,paid
L473,U246,5011,0.15,paid
L474,U247,2500,0.15,paid
L475,U248,2546,0.1,paid
L476,U249,3880,0.15,paid
L477,U249,6036,0.12,paid
L478,U250,3001,0.12,paid
L479,U250,1096,0.15,paid
L480,U251,4635,0.12,paid
L481,U252,1394,0.12,paid
L482,U252,2444,0.12,default
L483,U253,1929,0.15,default
L484,U253,1256,0.12,paid
L485,U254,3398,0.15,paid
L486,U255,2343,0.12,paid
L487,U256,3735,0.15,paid
L488,U256,4528,0.12,paid
L489,U257,2744,0.12,paid
L490,U258,4772,0.15,paid
L491,U258,3569,0.15,default
L492,U259,9984,0.15,paid
L493,U260,6374,0.1,paid
L494,U261,7131,0.1,default
L495,U261,6709,0.1,paid
L496,U261,4428,0.15,paid
L497,U262,9845,0.15,paid
L498,U262,1852,0.15,paid
L499,U262,1769,0.12,paid
L500,U263,4384,0.12,paid
L501,U264,9770,0.15,paid
L502,U265,2629,0.1,paid
L503,U266,9112,0.15,default
L504,U266,1153,0.15,paid
L505,U267,1989,0.15,paid
L506,U267,1679,0.15,paid
L507,U267,2537,0.12,paid
L508,U268,4914,0.1,paid
L509,U268,7525,0.1,paid
L510,U268,5264,0.1,paid
L511,U269,7709,0.15,paid
L512,U269,5407,0.12,default
L513,U270,6171,0.12,paid
L514,U270,2581,0.12,default
L515,U270,1451,0.1,paid
L516,U271,3776,0.12,default
L517,U271,9387,0.12,paid
L518,U271,6103,0.12,paid
L519,U272,3717,0.1,paid
L520,U272,6645,0.1,paid
L521,U272,7450,0.1,paid
L522,U273,3219,0.1,paid
L523,U273,7713,0.15,paid
L524,U274,3291,0.15,paid
L525,U274,1950,0.15,paid
L526,U274,1653,0.15,paid
L527,U275,6994,0.15,paid
L528,U275,9573,0.12,paid
L529,U276,4816,0.12,paid
L530,U276,8002,0.15,paid
L531,U276,1228,0.12,paid
L532,U277,2059,0.12,paid
L533,U277,5342,0.15,paid
L534,U277,8747,0.12,paid
L535,U278,5077,0.12,default
L536,U278,6368,0.15,paid
L537,U278,7426,0.15,paid
L538,U279,1139,0.12,paid
L539,U279,6989,0.15,paid
L540,U279,1958,0.12,paid
L541,U280,6359,0.15,paid
L542,U280,7256,0.1,paid
L543,U280,2145,0.15,paid
L544,U281,7487,0.15,paid
L545,U281,3241,0.15,paid
L546,U282,4878,0.1,default
L547,U282,2997,0.15,paid
L548,U282,8086,0.12,paid
L549,U283,9715,0.1,paid
L550,U284,4818,0.15,paid
L551,U284,5868,0.12,default
L552,U285,4602,0.1,paid
L553,U285,9393,0.12,default
L554,U286,2483,0.12,paid
L555,U287,3640,0.12,paid
L556,U288,5283,0.12,paid
L557,U288,6883,0.15,default
L558,U289,4673,0.12,default
L559,U289,3207,0.12,paid
L560,U289,5502,0.12,default
L561,U290,4727,0.1,default
L562,U291,5076,0.12,paid
L563,U291,5893,0.1,default
L564,U291,9005,0.15,default
L565,U292,6987,0.15,paid
L566,U293,2793,0.12,paid
L567,U294,2417,0.12,paid
L568,U294,1043,0.12,paid
L569,U295,8516,0.12,paid
L570,U296,2246,0.15,default
L571,U296,4040,0.15,paid
L572,U297,4219,0.15,paid
L573,U298,7096,0.12,paid
L574,U298,2402,0.15,default
L575,U299,5937,0.12,paid
L576,U299,7013,0.12,paid
L577,U300,3895,0.15,paid
L578,U301,6261,0.1,paid
L579,U301,4638,0.1,paid
L580,U302,6975,0.12,paid
L581,U302,2939,0.1,paid
L582,U303,9858,0.12,default
L583,U303,3855,0.15,paid
L584,U304,5166,0.12,paid
L585,U304,8099,0.15,paid
L586,U304,2300,0.15,paid
L587,U305,8039,0.1,paid
L588,U305,5260,0.12,paid
L589,U306,6095,0.1,paid
L590,U307,1952,0.15,paid
L591,U307,2721,0.12,paid
L592,U307,2372,0.15,paid
L593,U308,5327,0.15,paid
L594,U309,3378,0.1,paid
L595,U309,9361,0.1,default
L596,U309,2797,0.12,paid
L597,U310,9185,0.15,paid
L598,U310,7776,0.1,paid
L599,U311,6269,0.12,paid
L600,U311,5353,0.12,paid
L601,U311,8850,0.12,paid
L602,U312,1434,0.1,paid
L603,U312,6672,0.15,paid
L604,U313,8510,0.12,default
L605,U313,9327,0.1,paid
L606,U313,9797,0.15,default
L607,U314,2387,0.1,default
L608,U314,1388,0.15,paid
L609,U314,7468,0.15,paid
L610,U315,6803,0.1,paid
L611,U315,1278,0.15,paid
L612,U316,6931,0.15,paid
L613,U317,4248,0.15,paid
L614,U317,5336,0.15,paid
L615,U317,6523,0.12,paid
L616,U318,5865,0.12,paid
L617,U318,8512,0.15,paid
L618,U318,2142,0.12,paid
L619,U319,7747,0.12,paid
L620,U320,3736,0.15,paid
L621,U320,7580,0.1,paid
L622,U321,5763,0.12,paid
L623,U321,8551,0.1,default
L624,U321,7117,0.15,paid
L625,U322,9082,0.1,default
L626,U322,6925,0.1,paid
L627,U322,7072,0.15,default
L628,U323,2321,0.12,paid
L629,U324,1527,0.15,paid
L630,U324,5580,0.1,paid
L631,U324,2274,0.15,paid
L632,U325,6533,0.1,paid
L633,U325,2763,0.15,paid
L634,U326,4527,0.1,paid
L635,U326,1882,0.12,paid
L636,U326,5467,0.12,paid
L637,U327,1728,0.1,default
L638,U328,6195,0.15,default
L639,U328,1166,0.1,paid
L640,U328,9552,0.15,default
L641,U329,8488,0.1,paid
L642,U329,9086,0.15,paid
L643,U329,8304,0.1,paid
L644,U330,6198,0.1,paid
L645,U331,5098,0.15,paid
L646,U332,3532,0.12,paid
L647,U333,5180,0.1,paid
L648,U334,7165,0.12,paid
L649,U334,2673,0.12,paid
L650,U334,8053,0.12,default
L651,U335,8313,0.1,default
L652,U336,5999,0.1,paid
L653,U337,7038,0.12,paid
L654,U337,7613,0.1,paid
L655,U337,5209,0.1,paid
L656,U338,8997,0.12,paid
L657,U339,6626,0.15,paid
L658,U339,9186,0.15,paid
L659,U340,1043,0.1,default
L660,U341,6152,0.15,default
L661,U342,4980,0.1,paid
L662,U342,7888,0.1,paid
L663,U343,2956,0.12,paid
L664,U344,2854,0.1,paid
L665,U344,2904,0.12,paid
L666,U345,4074,0.12,paid
L667,U346,4605,0.15,paid
L668,U346,2405,0.1,paid
L669,U346,2997,0.15,paid
L670,U347,5057,0.1,paid
L671,U347,3985,0.15,default
L672,U348,5172,0.15,paid
L673,U348,5812,0.1,paid
L674,U349,9452,0.1,default
L675,U349,5268,0.1,default
L676,U350,8564,0.1,paid
L677,U350,9108,0.1,paid
L678,U351,4804,0.12,paid
L679,U351,7003,0.12,paid
L680,U351,9170,0.12,paid
L681,U352,2703,0.12,paid
L682,U353,8925,0.1,paid
L683,U354,5823,0.1,paid
L684,U355,1076,0.1,paid
L685,U355,7300,0.1,paid
L686,U355,1876,0.1,paid
L687,U356,8822,0.12,paid
L688,U357,8755,0.15,default
L689,U357,6108,0.1,paid
L690,U357,1611,0.15,paid
L691,U358,3458,0.1,paid
L692,U358,9359,0.12,paid
L693,U358,5066,0.1,default
L694,U359,4432,0.12,paid
L695,U360,7851,0.12,default
L696,U360,1216,0.1,paid
L697,U361,8087,0.1,paid
L698,U362,1684,0.12,default
L699,U363,2427,0.12,paid
L700,U363,4575,0.12,paid
L701,U364,4851,0.12,paid
L702,U365,7769,0.15,paid
L703,U365,4331,0.15,paid
L704,U365,7564,0.12,default
L705,U366,8973,0.1,paid
L706,U367,5825,0.12,paid
L707,U367,9286,0.15,paid
L708,U368,1761,0.15,paid
L709,U368,9918,0.15,default
L710,U368,2144,0.15,paid
L711,U369,8793,0.1,paid
L712,U369,8745,0.15,paid
L713,U369,7662,0.12,paid
L714,U370,7166,0.12,paid
L715,U370,3329,0.15,paid
L716,U371,3338,0.15,paid
L717,U372,3307,0.12,paid
L718,U372,2010,0.12,paid
L719,U372,2960,0.1,default
L720,U373,7400,0.1,paid
L721,U373,8988,0.1,paid
L722,U373,5879,0.1,paid
L723,U374,7573,0.12,paid
L724,U374,7819,0.12,paid
L725,U374,7303,0.1,paid
L726,U375,5695,0.15,paid
L727,U375,8699,0.12,paid
L728,U375,4087,0.12,paid
L729,U376,2015,0.15,paid
L730,U376,4073,0.15,paid
L731,U376,7296,0.15,paid
L732,U377,6424,0.15,paid
L733,U378,1106,0.1,paid
L734,U379,3417,0.12,paid
L735,U379,6295,0.1,paid
L736,U380,1940,0.1,paid
L737,U380,7515,0.15,paid
L738,U381,3399,0.1,paid
L739,U382,7629,0.12,default
L740,U383,5313,0.12,paid
L741,U384,3611,0.15,paid
L742,U384,1325,0.1,paid
L743,U384,3182,0.12,paid
L744,U385,7321,0.15,paid
L745,U385,3553,0.1,paid
L746,U386,8786,0.12,paid
L747,U386,5518,0.15,paid
L748,U386,9000,0.15,default
L749,U387,7084,0.15,default
L750,U387,6881,0.15,paid
L751,U387,9463,0.12,paid
L752,U388,5821,0.1,paid
L753,U388,6390,0.1,default
L754,U389,5665,0.12,paid
L755,U389,5005,0.1,paid
L756,U390,8268,0.12,paid
L757,U391,7855,0.12,paid
L758,U391,6648,0.12,paid
L759,U391,3114,0.15,paid
L760,U392,4863,0.12,default
L761,U392,6588,0.15,paid
L762,U393,4480,0.1,paid
L763,U393,2906,0.15,default
L764,U394,3272,0.12,paid
L765,U394,9458,0.15,default
L766,U394,4293,0.15,paid
L767,U395,1615,0.1,default
L768,U395,1649,0.1,default
L769,U395,1768,0.12,default
L770,U396,8726,0.1,paid
L771,U396,7434,0.15,paid
L772,U396,8376,0.12,paid
L773,U397,7109,0.1,paid
L774,U398,3482,0.1,paid
L775,U399,7997,0.15,paid
L776,U399,4069,0.1,default
L777,U400,7350,0.1,paid
L778,U400,8951,0.12,default
L779,U401,3607,0.15,paid
L780,U401,8862,0.15,default
L781,U402,1738,0.15,default
L782,U402,5116,0.1,default
L783,U403,2734,0.1,paid
L784,U404,8455,0.15,paid
L785,U404,2986,0.12,paid
L786,U405,6347,0.15,default
L787,U405,6579,0.1,default
L788,U405,8566,0.15,default
L789,U406,6780,0.12,paid
L790,U406,5340,0.1,paid
L791,U406,2230,0.12,paid
L792,U407,7803,0.15,paid
L793,U407,4947,0.12,paid
L794,U408,7318,0.1,default
L795,U408,5822,0.15,paid
L796,U408,7973,0.15,paid
L797,U409,5304,0.1,default
L798,U410,1291,0.1,paid
L799,U410,7889,0.12,paid
L800,U410,1658,0.12,paid
L801,U411,9584,0.15,paid
L802,U411,4000,0.1,paid
L803,U411,1323,0.15,paid
L804,U412,1306,0.15,paid
L805,U412,2617,0.1,default
L806,U412,8240,0.15,default
L807,U413,5730,0.15,paid
L808,U414,1499,0.1,paid
L809,U414,5318,0.12,paid
L810,U414,8827,0.15,paid
L811,U415,7527,0.15,paid
L812,U415,5465,0.15,paid
L813,U416,5537,0.15,paid
L814,U416,6055,0.1,default
L815,U417,8294,0.15,paid
L816,U417,6513,0.15,paid
L817,U417,8512,0.1,paid
L818,U418,9897,0.1,default
L819,U418,9917,0.15,paid
L820,U419,5834,0.1,paid
L821,U420,4358,0.1,paid
L822,U420,7241,0.15,default
L823,U421,3073,0.12,paid
L824,U421,6041,0.15,paid
L825,U422,5282,0.12,paid
L826,U422,4104,0.15,paid
L827,U422,3299,0.12,paid
L828,U423,7166,0.1,paid
L829,U424,9920,0.12,default
L830,U424,9234,0.15,paid
L831,U425,2600,0.1,paid
L832,U425,4638,0.15,paid
L833,U426,9217,0.12,paid
L834,U426,8089,0.1,paid
L835,U426,6271,0.1,paid
L836,U427,6974,0.1,default
L837,U428,3099,0.12,paid
L838,U428,7110,0.1,paid
L839,U429,9935,0.12,paid
L840,U429,5791,0.1,paid
L841,U429,3973,0.15,paid
L842,U430,7003,0.12,default
L843,U430,7071,0.12,paid
L844,U431,3483,0.1,default
L845,U431,4315,0.15,paid
L846,U432,5654,0.12,paid
L847,U432,5623,0.12,paid
L848,U433,3651,0.12,default
L849,U433,5276,0.15,paid
L850,U434,2341,0.12,paid
L851,U434,2529,0.12,paid
L852,U435,5221,0.12,paid
L853,U435,6401,0.1,paid
L854,U436,2102,0.1,paid
L855,U436,2503,0.1,default
L856,U437,8019,0.1,default
L857,U437,3170,0.15,paid
L858,U438,3341,0.12,paid
L859,U438,2440,0.15,paid
L860,U439,3349,0.12,paid
L861,U439,3794,0.1,paid
L862,U440,6932,0.1,paid
L863,U440,1326,0.15,paid
L864,U441,2822,0.1,paid
L865,U441,8141,0.12,default
L866,U442,7264,0.15,paid
L867,U443,4393,0.12,paid
L868,U444,6883,0.15,paid
L869,U444,6457,0.1,paid
L870,U445,8558,0.1,paid
L871,U446,9616,0.15,paid
L872,U447,7553,0.15,paid
L873,U447,6590,0.15,default
L874,U447,5352,0.15,default
L875,U448,9208,0.1,default
L876,U448,6465,0.12,default
L877,U449,5864,0.1,paid
L878,U450,8182,0.15,paid
L879,U451,1816,0.1,paid
L880,U451,5609,0.15,paid
L881,U452,4601,0.15,default
L882,U452,9100,0.1,paid
